resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
12,Nakiska,Kananaskis,Alberta,7415,5003,2412,1021,79,6,100,0,
13,Lake Louise Mountain Resort,Lake Louise,Alberta,8650,5400,3250,4200,139,9,0,0,
20,Sasquatch Mountain,Chehalis,British Columbia,0,0,1100,300,0,0,0,0,
21,Mount Washington Alpine Resort,Courtenay,British Columbia,0,0,1663,1700,0,0,432,0,
26,Harper Mountain,Kamloops,British Columbia,0,0,1400,400,0,0,156,0,
28,Kimberley Alpine Resort,Kimberley,British Columbia,0,0,2464,1800,0,0,160,0,
29,Manning Park,Manning Park,British Columbia,0,0,1417,140,0,0,296,0,
30,Whitewater Ski Resort,Nelson,British Columbia,6709,4665,2044,1180,46,4,472,0,
33,Mount Baldy Ski Area,Oliver,British Columbia,0,0,1293,600,0,0,256,0,
37,Salmo Ski Area,Salmo,British Columbia,0,0,1120,0,0,0,120,0,
60,Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5,2,180,0,
90,Lee's Ski Hill,Ouray,Colorado,7867,7792,75,2,1,1,134,0,
105,Blizzard Mountain,Arco,Idaho,6305,5595,710,0,0,1,0,0,
138,Saddleback Maine,Farmington,Maine,4120,2120,2000,485,66,5,200,0,
168,Pine Knob,Clarkston,Michigan,1308,1009,300,80,14,6,0,0,
169,Apple Mountain,Freeland,Michigan,820,600,220,80,12,6,52,0,
186,Petoskey Winter Sports Park,Petoskey,Michigan,790,720,70,0,0,1,0,0,
237,Veterans Memorial Recreation Area,Franklin,New Hampshire,0,0,220,0,10,2,0,0,
252,Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,0,9,1,0,0,
298,Big Tupper Ski Area,Tupper Lake,New York,0,0,0,0,0,0,0,0,
304,Hickory Ski Center,Buffalo,New York,0,0,0,0,0,0,0,0,
305,Tuxedo Ridge Ski Center,Buffalo,New York,0,0,0,0,0,0,0,0,
320,Big Creek,Concord,Ohio,1466,1292,174,23,5,2,102,0,
337,Spout Springs,Tollgate,Oregon,5450,4920,530,200,17,2,130,0,
357,Denton Hill State Park,Ulysses,Pennsylvania,2460,1800,660,0,0,5,0,0,
395,Hard'ack Recreation Area,St. Albans,Vermont,0,0,100,0,0,1,0,0,
441,Nutt Hill Ski Area,Plymouth,Wisconsin,0,0,100,10,2,1,0,0,
445,Navarino Hills,Shiocton,Wisconsin,885,785,100,0,0,4,0,0,
108,Chipmunk Hill,Challis,Idaho,0,0,0,30,1,1,0,5,
145,Powderhouse Hill,Portland,Maine,240,120,120,0,3,1,0,5,
245,Kanc Recreation Area,Lincoln,New Hampshire,1080,859,221,7,2,1,0,5,
247,Mt. Eustis Ski Hill,Littleton,New Hampshire,1373,1133,240,0,0,1,0,5,
